file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,6
style.css,2,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,38
style.css,3,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,37
style.css,4,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,24
style.css,5,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,0
style.css,6,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,0
style.css,7,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,14
style.css,8,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,18
style.css,9,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,9
style.css,10,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,11
style.css,11,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,14
style.css,12,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,13,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,14,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,23
style.css,15,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,16
style.css,16,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,18
style.css,17,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,15
style.css,18,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,19,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,20,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,11
style.css,21,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,13
style.css,22,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,62
style.css,23,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,53
style.css,24,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,0
style.css,25,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,0
style.css,26,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,13
style.css,27,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,33
style.css,28,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,0
style.css,29,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,0
style.css,30,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,0
style.css,31,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,14
style.css,32,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,7
style.css,33,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,0
style.css,34,css,242f67fb,unknown,2025-01-31,23:33:37,-08:00,2025-01-31T23:33:37-08:00,0,0
style.css,35,css,dc6387ae,unknown,2025-01-10,01:01:39,-08:00,2025-01-10T01:01:39-08:00,0,5
style.css,36,css,dc6387ae,unknown,2025-01-10,01:01:39,-08:00,2025-01-10T01:01:39-08:00,0,44
style.css,37,css,dc6387ae,unknown,2025-01-10,01:01:39,-08:00,2025-01-10T01:01:39-08:00,0,43
style.css,38,css,dc6387ae,unknown,2025-01-10,01:01:39,-08:00,2025-01-10T01:01:39-08:00,0,1
style.css,39,css,dc6387ae,unknown,2025-01-10,01:01:39,-08:00,2025-01-10T01:01:39-08:00,0,24
style.css,40,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,16
style.css,41,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,43
style.css,42,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,27
style.css,43,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,17
style.css,44,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,19
style.css,45,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,46,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,47,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,4
style.css,48,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,40
style.css,49,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,13
style.css,50,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,18
style.css,51,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,48
style.css,52,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,53,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,54,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,55,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,6
style.css,56,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,7
style.css,57,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,21
style.css,58,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,14
style.css,59,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,18
style.css,60,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,14
style.css,61,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,62,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,63,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,14
style.css,64,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,44
style.css,65,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,21
style.css,66,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,40
style.css,67,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,68,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,69,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,12
style.css,70,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,46
style.css,71,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,21
style.css,72,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,70
style.css,73,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,74,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,75,css,6d2d159b,unknown,2025-01-24,23:52:38,-08:00,2025-01-24T23:52:38-08:00,0,32
style.css,76,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,20
style.css,77,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,78,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,0
style.css,79,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,5
style.css,80,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,13
style.css,81,css,1e8f6f29,unknown,2025-01-17,22:23:21,-08:00,2025-01-17T22:23:21-08:00,0,31
